name,phone,principal_contact,url,street_address,accreditation_status
Quality Medical Billing Service,+15032531653,"Ms. Kay Holmes, Owner",https://www.bbb.org/us/or/portland/profile/billing-services/quality-medical-billing-service-1296-75004277,1404 SE 151st Ave,False
Valcare Medical Billing Services,+15099722357,"Ms. Carolyn Pierson, Owner",https://www.bbb.org/us/wa/yakima/profile/medical-billing/valcare-medical-billing-services-1296-1000009330,208 1/2 S 40th Ave,False
Prescott Medical Billing Services,+19285335060,"Mr. Kenneth Ficek, President/CEO",https://www.bbb.org/us/az/prescott/profile/medical-billing/prescott-medical-billing-services-1126-1000046455,Prescott,False
DDR Medical Billing & Consultants,+16028887063,"Ms. Donna Suchil, Member",https://www.bbb.org/us/az/phoenix/profile/medical-billing/ddr-medical-billing-consultants-1126-1000047383,2735 W Sweetwater Ave,False
Billing Partners Solution,+16026750161,"Ms. Ruth M Gonzalez, Owner",https://www.bbb.org/us/az/phoenix/profile/medical-billing/billing-partners-solution-1126-1000047551,5224 N 40th Dr,True
Easy Billing Services,+16192462695,"Ms. Danielle Gonzales, Owner",https://www.bbb.org/us/ca/san-diego/profile/billing-services/easy-billing-services-1126-1000113485,PO Box 710730,True
Hernandez Healthcare Billing,+19287794404,"Ms. Dorothy Hernandez, Manager",https://www.bbb.org/us/az/bellemont/profile/billing-services/hernandez-healthcare-billing-1126-1000040693,Bellemont,False
Billing Business Specialists,+15203169405,"Mrs. Jeri E. Theiler, Member",https://www.bbb.org/us/az/arizona-city/profile/medical-billing/billing-business-specialists-1126-1000047834,PO Box 3121,False
Clinical Billing Solutions,+18885502112,"Mr. Jack Van Berkel, CEO",https://www.bbb.org/us/ca/orange/profile/medical-billing/clinical-billing-solutions-1126-1000126773,PO Box 14155,False
Orange Sterling Billing,+14808435143,"Mrs. Lauren Rundall, Owner",https://www.bbb.org/us/az/phoenix/profile/billing-services/orange-sterling-billing-1126-1000110820,10000 N 31st Ave Ste D214,True
Platinum Medical Billing & Consulting,+16024330305,"Ms. Anna M Whitt, Owner",https://www.bbb.org/us/az/mesa/profile/medical-billing/platinum-medical-billing-consulting-1126-1000085023,1837 S Mesa Dr Ste B202,False
Apridas Medical Management & Billing,+14057459600,"Ms. Becky Stubblefield, Owner",https://www.bbb.org/us/ok/mustang/profile/medical-case-management/apridas-medical-management-billing-0995-90024256,2035 E State Hwy 152 Suite 103,False
Medical Claims & Billing Specialist,+18319013801,"Ms. Diana Rosa, Co-Owner",https://www.bbb.org/us/ca/del-rey-oaks/profile/medical-billing/medical-claims-billing-specialist-1216-231036,203C Calle Del Oaks,True
Doctors & MDs Billing,+18052104207,"Ms. Lili Vizcardo, Owner",https://www.bbb.org/us/ca/simi-valley/profile/medical-billing/doctors-mds-billing-1236-92013897,2667 Fallon Cir,False
KSN Billing & Collections,+18554690959,"Robin Bailey, CEO",https://www.bbb.org/us/nj/newark/profile/medical-billing/ksn-billing-collections-0221-90203827,PO Box 3791,False
Young's Billing & Consulting,+17164082525,"Mr. Daniel J. Young, President/CEO",https://www.bbb.org/us/ny/williamsville/profile/billing-services/youngs-billing-consulting-0041-235964412,Williamsville,True
Certified Healthcare Billing,+16267919004,"Julia Tashchyan, CEO",https://www.bbb.org/us/ca/sunland/profile/medical-billing/certified-healthcare-billing-1216-640510,8055 Foothill Blvd,True
"Metropolitan Medical Billing Services, Inc.",+14434013736,"Ms. Michelle Macer, Manager",https://www.bbb.org/us/md/gwynn-oak/profile/medical-billing/metropolitan-medical-billing-services-inc-0011-90184972,6606 Liberty Ter,False
"Borsu Medical Billing Services, LLC",+12028484873,"Mr. Borsu Okpara, Owner",https://www.bbb.org/us/md/hyattsville/profile/medical-billing/borsu-medical-billing-services-llc-0241-236075667,Hyattsville,False
ELS Medical Billing Group LLC,+18889277894,"Ms. Ericia L. Smith, CEO",https://www.bbb.org/us/ga/lagrange/profile/medical-billing/els-medical-billing-group-llc-0743-91820311,Lagrange,True
Home Sweet Billing LLC,+12085701752,"Ms. Jodie M Crane, Member",https://www.bbb.org/us/id/boise/profile/medical-billing/home-sweet-billing-llc-1296-1000128966,Boise,False
Aloha Maui Billing Services,+18082767193,Ms. Jonelle Davis,https://www.bbb.org/us/hi/makawao/profile/medical-billing/aloha-maui-billing-services-1296-1000121014,1135 Makawao Ave Ste 103,True
"RDY Billing Solutions, LLC",+16469160643,"Ms. Regina Young, Owner",https://www.bbb.org/us/nc/monroe/profile/medical-billing/rdy-billing-solutions-llc-0473-92032450,Monroe,False
Results Insurance Billing LLC,+15413938595,"Ms. Kerrie Martinez, Owner/Partner",https://www.bbb.org/us/or/prineville/profile/medical-billing/results-insurance-billing-llc-1296-1000103296/addressId/640425,1235 NE McRae Ct,False
DeMonte Medical Billing Solutions LLC,+18889243627,"Ms. Joanne Demonte, Owner",https://www.bbb.org/us/pa/jeannette/profile/medical-billing/demonte-medical-billing-solutions-llc-0141-71041213,1000 Clay Ave,False
Pro Med Billing Associates,+18556309900,"Sadna Mohan, President",https://www.bbb.org/us/il/aurora/profile/medical-billing/pro-med-billing-associates-0654-88207857,800 S Frontenac St # 3,False
Excellent Medical Billing Service (EMBS),+14073024606,"Lillian M. Ramos, President",https://www.bbb.org/us/fl/sanford/profile/medical-billing/excellent-medical-billing-service-embs-0733-90179274,401 E 1st St Unit 2939,False
C R Billing Svc,+17087486775,"Connie Rawls, Owner",https://www.bbb.org/us/il/richton-park/profile/medical-billing/c-r-billing-svc-0654-88225214,22816 Valley Dr,False
Brumett Professional Billing Services,+16236800096,"Ms. Rosemary Brumett, Manager",https://www.bbb.org/us/az/surprise/profile/billing-services/brumett-professional-billing-services-1126-1000028587,27177 N 171st Ln,False
Blue Sky Billing Solutions,+17724290692,"Ms. Debbie Drennan, Managing Member",https://www.bbb.org/us/fl/fort-pierce/profile/medical-billing/blue-sky-billing-solutions-0633-90428573,101 N US Highway 1 STE 118,False
D M Billing Service,+16195612969,"Ms. Dana Manjarrez, Owner",https://www.bbb.org/us/ca/lakeside/profile/billing-services/d-m-billing-service-1126-30004014,Lakeside,False
"Administrative Billing Solutions, Inc.",+17153037696,"Ms. Kari S. Behlmer, President",https://www.bbb.org/us/wi/eau-claire/profile/billing-services/administrative-billing-solutions-inc-0694-44185137,1226 Archer Ln,False
D&S Medical Billing Services Inc,+19493880108,"Ms. Shahnaz Lewis, President/Owner",https://www.bbb.org/us/ca/laguna-niguel/profile/medical-billing/ds-medical-billing-services-inc-1126-13105658,PO Box 7526,False
"Medical Billing, Etc.",+14023981138,"MaryEllen Fisher, Owner",https://www.bbb.org/us/ne/omaha/profile/billing-services/medical-billing-etc-0714-300022690,10567 Hansen Ave,False
A+ Medical Billing,+19493080332,"Ms. Abeer Marogi, Founder-CEO",https://www.bbb.org/us/ca/lake-forest/profile/medical-billing/a-medical-billing-1126-1000142295,Lake Forest,False
Integrity Billing & Consulting LLC,+15035828188,"Ms. Ginette M Zuras-Hummel, Managing Owner",https://www.bbb.org/us/or/wilsonville/profile/medical-business-administration/integrity-billing-consulting-llc-1296-1000048129/addressId/871878,PO Box 3516,False
Billing Dynamix,+17273869497,Mr. Thomas Jorno,https://www.bbb.org/us/fl/clearwater/profile/medical-billing/billing-dynamix-0653-90344528,2857 Executive Dr STE 200,False
Billing Key,+16787565284,"Mr. Nicholas Hawkins, Owner",https://www.bbb.org/us/ga/atlanta/profile/medical-billing/billing-key-0443-27966156,2221 Peachtree Rd NE STE D-397,False
Draper Precision Billing & Coding,+19282218961,"Mr. Travis Draper, Member",https://www.bbb.org/us/az/flagstaff/profile/medical-coding/draper-precision-billing-coding-1126-1000048355,Flagstaff,False
Medical Billing Unlimited,+17173694417,"Ms. April Wingert, Owner",https://www.bbb.org/us/pa/greencastle/profile/medical-billing/medical-billing-unlimited-0241-182819497,4514 Rockdale Rd,False
Acom Medical Billing,+14805452610,"Mr. Patrick McMahon, President",https://www.bbb.org/us/az/gilbert/profile/medical-billing/acom-medical-billing-1126-87002612,1094 S Gilbert Rd Ste 203,False
Stolze Medical Billing,+19095760111,"Mrs. Alyssa A Stolze, Billing Specialist",https://www.bbb.org/us/ca/victorville/profile/medical-billing/stolze-medical-billing-1126-850022321,11736 Dellwood Rd,False
Greensense Billing,+19096988022,"Ms. Angel Salazar, Operations Manager",https://www.bbb.org/us/ca/corona/profile/medical-billing/greensense-billing-1126-850066962,495 E Rincon St STE 206,False
SmileBound Billing,+18032001899,"Ms. Dawn Walker, CEO",https://www.bbb.org/us/nj/millville/profile/medical-billing/smilebound-billing-0221-90234692,Millville,True
Billing Solutions,+17404174968,"Ms. Jackie Kruse, Owner",https://www.bbb.org/us/oh/delaware/profile/medical-billing/billing-solutions-0302-14008220,15 E Lincoln Ave,False
Operation Billing,+18887235962,"Mr. Steve Herrera, Owner",https://www.bbb.org/us/tx/fort-worth/profile/medical-billing/operation-billing-0825-235981805,4500 Mercantile Plaza Dr Ste 300,False
Billing Matters,+16502452726,"Ms. Beth Goddard, Owner",https://www.bbb.org/us/ca/redwood-city/profile/medical-billing/billing-matters-1116-538335,570 El Camino Real STE 363,False
Enfinity Medical Billing,+17329440080,"Shakeel Ahmad, Principal",https://www.bbb.org/us/nj/east-brunswick/profile/medical-billing/enfinity-medical-billing-0221-90234777,197 Route 18,False
Medical Billing Alternatives,+14198245203,"Ms. Linda Hoffman, Owner",https://www.bbb.org/us/oh/sylvania/profile/billing-services/medical-billing-alternatives-0422-18000291,5600 Monroe St Building B Ste 101,False
Sirius Medical Billing,+13603980878,"Ms. Catherine Campbell, Owner",https://www.bbb.org/us/wa/bellingham/profile/medical-billing/sirius-medical-billing-1296-22959892,Bellingham,False
PDXPERT Medical Billing,+15038608913,Ms. Cortney Rouse,https://www.bbb.org/us/or/portland/profile/medical-billing/pdxpert-medical-billing-1296-1000096262,Portland,False
Armedix Medical Billing,+14054184506,"Mr. Randall Murray, Owner",https://www.bbb.org/us/ok/oklahoma-city/profile/medical-billing/armedix-medical-billing-0995-90074308,3705 W Memorial Rd Ste 1304,False
Outsource Medical Billing,,"Sharon Burge, Owner",https://www.bbb.org/us/md/joppa/profile/billing-services/outsource-medical-billing-0011-90190447,207 Stillmeadow Dr,False
Talbert's Medical Billing,+13378559023,"Mary Talbert, CEO",https://www.bbb.org/us/la/lake-charles/profile/medical-billing/talberts-medical-billing-0925-90006328/addressId/5147,PO Box 13047,True
Comprehensive Medical Billing,+18663218433,,https://www.bbb.org/us/ok/oklahoma-city/profile/billing-services/comprehensive-medical-billing-0995-90011697,9301 S. WESTERN AVE.,False
Prince's Medical Billing,+17073349724,"Ms. Loretta Lary, Owner",https://www.bbb.org/us/ca/vallejo/profile/billing-services/princes-medical-billing-1116-305648,391 Sawyer St.,False
Denton Medical Billing,+19405655846,"Ms. Robin Johnston, Owner",https://www.bbb.org/us/tx/denton/profile/billing-services/denton-medical-billing-0875-90013540,2019 Malone,False
Medical Billing Specialists,+15033875436,Mr. Kevin Worden,https://www.bbb.org/us/wa/everett/profile/medical-billing/medical-billing-specialists-1296-1000055840,Everett,False
Medical Billing Solutions,+19196980913,"Ms. Mickey Perry, Customer Contact",https://www.bbb.org/us/nc/durham/profile/medical-billing/medical-billing-solutions-0593-90079402,2327 Englert Dr Ste 101-6,False
Tammy's Medical Billing,+19074220488,"Ms. Tammy Foutz, Owner",https://www.bbb.org/us/ak/seward/profile/medical-billing/tammys-medical-billing-1296-1000095075,Seward,False
Advantage Medical Billing,+15303457699,"Ms. Jennifer Redeker, Owner",https://www.bbb.org/us/ca/chico/profile/medical-billing/advantage-medical-billing-1156-47020324,Chico,True
Midwest Medical Billing,+16308751500,"Bob Bostrom, President",https://www.bbb.org/us/il/itasca/profile/billing-services/midwest-medical-billing-0654-88008315,650 E. Devon Ave.,False
Maximus Medical Billing,+12404896260,"Dr. Maria Jison, President",https://www.bbb.org/us/md/silver-spring/profile/billing-services/maximus-medical-billing-0241-182900463,11006 Veirs Mill Rd PMB 261,False
Stanford Medical Billing,+15594381245,"Bette Stanford, Owner",https://www.bbb.org/us/ca/fresno/profile/billing-services/stanford-medical-billing-1126-59004124,550 E Herndon Ave Ste 105A,False
Medical Billing Alternatives,+16153298226,"Carla Anderson, CEO/Owner",https://www.bbb.org/us/tn/murfreesboro/profile/billing-services/medical-billing-alternatives-0573-37062480,PO Box 12329,False
Park Medical Billing,+12015857306,"Mr. Chol Park, CEO/Founder",https://www.bbb.org/us/nj/englewood/profile/medical-billing/park-medical-billing-0221-90169074,106 Grand Ave Ste 210,False
Nexus Medical Billing,+18772722900,Mr. Christine,https://www.bbb.org/us/ma/springfield/profile/medical-billing/nexus-medical-billing-0261-289023,PO Box 15109,False
"Montana Medical Billing, L.L.C.",+14062277065,"Mrs. Morgan Williams, Owner",https://www.bbb.org/us/mt/columbia-fls/profile/medical-business-administration/montana-medical-billing-llc-1296-1000008635,PO Box 3230,True
Lees Medical Billing,+12292340062,,https://www.bbb.org/us/fl/milton/profile/medical-billing/lees-medical-billing-0683-90078578,Milton,False
Human Medical Billing,+18776691070,"Ms. Kara Wily, Director of Business Deve",https://www.bbb.org/us/ca/castaic/profile/medical-billing/human-medical-billing-1216-100026215,Castaic,True
Ultimate Medical Billing,+15407519146,"Ms. Rhonda Jeffery, Owner",https://www.bbb.org/us/va/round-hill/profile/billing-services/ultimate-medical-billing-0241-124457597,17370 Avion Sq,False
Hart Medical Billing,+17078393013,"Ms. Harriette Hart, Owner",https://www.bbb.org/us/ca/mckinleyville/profile/billing-services/hart-medical-billing-1116-195300,PO Box 2447,False
"Seaside Medical Billing, Inc.",+15085483699,"Ms. Charlene Soares, Owner",https://www.bbb.org/us/ma/teaticket/profile/medical-billing/seaside-medical-billing-inc-0021-112487,PO Box 2460,False
Telfonix Medical Billing,+19414836633,,https://www.bbb.org/us/fl/nokomis/profile/medical-consultants/telfonix-medical-billing-0403-8002369,890 Hillcrest Drive,False
Billing Paradise,+18885719069,"Venkat Aravamudhan, CFO",https://www.bbb.org/us/ca/diamond-bar/profile/medical-billing/billing-paradise-1216-260860,732 N Diamond Bar Blvd STE 110,False
ePsych Billing,+13233745479,"Mr. Alexander Zaki, President",https://www.bbb.org/us/nv/las-vegas/profile/medical-billing/epsych-billing-1086-90093585,2300 W Sahara Ave Ste 800,False
Digital Med Billing Solutions LLC,+14073775484,,https://www.bbb.org/us/fl/orlando/profile/medical-billing/digital-med-billing-solutions-llc-0733-235968973,1322 N Pine Hills Rd,False
Ultimate Billing,+14697445853,"Ms. Marina Adelman, Founder",https://www.bbb.org/us/ri/west-warwick/profile/medical-billing/ultimate-billing-0021-543902,1600 Division Rd Ste 2000,False
Billing Depot,+16093718920,"Ms. Patricia Freeze, President",https://www.bbb.org/us/nj/east-windsor/profile/medical-billing/billing-depot-0221-90108714,415 Dutch Neck Rd,False
RL Billing,+16305511097,"Robin Blamer, Owner",https://www.bbb.org/us/il/oswego/profile/medical-billing/rl-billing-0654-88578063,126 River Mist Dr,False
Allstars Medical Billing,+15014240123,"Mr. Muhammad ""Imran"" Siddique, Owner",https://www.bbb.org/us/ca/walnut-creek/profile/medical-billing/allstars-medical-billing-0935-90386244,2121 N California Blvd Ste 243,False
Revu Billing,+18889999744,Business Manager,https://www.bbb.org/us/il/bloomingdale/profile/accountant/revu-billing-0654-1000108584,175 S Bloomingdale Rd,False
Endless Billing,+18779271619,"Wendely Moodie-Naranjo, Executive",https://www.bbb.org/us/ca/tarzana/profile/medical-billing/endless-billing-1216-1000009205,6167 Reseda blvd,False
Ultimate Billing,+17187437090,"Ms. Marina Adelman, Founder",https://www.bbb.org/us/ny/brooklyn/profile/medical-billing/ultimate-billing-0021-543902/addressId/719122,103 Quentin Rd Ste BC21,False
Sigma Billing,+19372087288,"Tracy Hammond, Executive Director",https://www.bbb.org/us/oh/dayton/profile/medical-billing/sigma-billing-0322-3857,1520 S Main St,False
EasyCare Billing,+16098407792,,https://www.bbb.org/us/nj/kendall-park/profile/medical-billing/easycare-billing-0221-90175229,105 Daniel Ct,False
Atticus Medical Billing,+18009604662,,https://www.bbb.org/us/ca/thousand-oaks/profile/medical-billing/atticus-medical-billing-1236-92021487,5776 Lindero Canyon Road Suite D-451,False
Nexus Medical Billing,+18778425246,"Ms. Lauren K Hardison, President",https://www.bbb.org/us/fl/tierra-verde/profile/medical-billing/nexus-medical-billing-0653-90395209,150 Pinellas Bayway S,False
Accelerated Medical Billing,+17277818460,,https://www.bbb.org/us/fl/saint-petersburg/profile/medical-billing/accelerated-medical-billing-0653-90399628/addressId/255877,1209 1st St NE,False
Savant Medical Billing,+13605677154,"Ms. Susanne Noga, Owner",https://www.bbb.org/us/wa/vancouver/profile/medical-billing/savant-medical-billing-1296-1000087929,Vancouver,False
Medical Billing Solutions,+17252417862,"Ms. Melissa Mateo, Manager",https://www.bbb.org/us/nv/las-vegas/profile/medical-billing/medical-billing-solutions-1086-90090950,3924 N Torrey Pines Dr,False
Camelot Medical Billing,+16199429128,"Mrs. Wendy R Caudle, Owner",https://www.bbb.org/us/ca/chula-vista/profile/medical-billing/camelot-medical-billing-1126-172007228,417 Nickman St,False
Docs Medical Billing,+17022604106,Ms. Diana Gonzales,https://www.bbb.org/us/nv/las-vegas/profile/medical-billing/docs-medical-billing-1086-90045502,630 Landview Ct,False
Accelerated Medical Billing,+18138175602,,https://www.bbb.org/us/fl/tampa/profile/medical-billing/accelerated-medical-billing-0653-90399628,10403 Greendale Dr,False
Reliance Medical Billing,+19187012388,"Lynn Webb, Branch Manager",https://www.bbb.org/us/ok/tulsa/profile/medical-billing/reliance-medical-billing-1025-38064846,3741 S Peoria Ave,False
Specialty Medical Billing,+19044107938,"Ms. Judy Ullo, Owner",https://www.bbb.org/us/fl/jacksonville/profile/medical-billing/specialty-medical-billing-0403-235960875,614 Cahoon Rd N 614 Cahoon Rd N,False
Numeric Medical Billing,+14137326544,"Mr. Joe McGovern, President",https://www.bbb.org/us/ma/west-springfield/profile/medical-billing/numeric-medical-billing-0261-347806,195 Wayside Ave,False
DMJM Medical Billing,+18042750606,"Ms. Jeanne M Haskins, Owner",https://www.bbb.org/us/va/chesterfield/profile/medical-billing/dmjm-medical-billing-0603-63400221/addressId/55124,PO Box 2611,False
Prosperity Medical Billing,+16062076318,,https://www.bbb.org/us/ky/bowling-green/profile/medical-billing/prosperity-medical-billing-0402-159166505,Bowling Green,False
Anderson Medical Billing,+17342844105,,https://www.bbb.org/us/mi/southgate/profile/billing-services/anderson-medical-billing-0372-90000668,14550 Balsam Street,False
Sven Medical Billing,+12486747133,,https://www.bbb.org/us/mi/clarkston/profile/billing-services/sven-medical-billing-0372-20004855,5880 Pine Knob Lane,False
Medical Billing Network,+12077822492,,https://www.bbb.org/us/me/lewiston/profile/medical-billing/medical-billing-network-0021-329422,6 Dupuis Ave # B,False
Accelerated Medical Billing,+19419239533,,https://www.bbb.org/us/fl/new-port-richey/profile/medical-billing/accelerated-medical-billing-0653-90399628/addressId/195401,5509 Grand Blvd Ste 203,False
Medical Billing Simplified,+19037525691,"Ms. Lindsey Michelle Pautsky, Owner",https://www.bbb.org/us/tx/arp/profile/medical-billing/medical-billing-simplified--1075-28137758,10811 FM 3226,False
Medical Billing Services,+19035341104,Ms. Carol Barrios,https://www.bbb.org/us/tx/tyler/profile/medical-billing/medical-billing-services-1075-28114624,302 Powell Dr,False
Trinity Medical Billing,+14795713174,"Mrs. Mary Cooper, Owner",https://www.bbb.org/us/ar/fayetteville/profile/medical-billing/trinity-medical-billing-0935-90305889,PO Box 10050,False
Renaissance Medical Billing,+14238772312,"Mr. Durie Andrews, Director of Business Development",https://www.bbb.org/us/tn/chattanooga/profile/billing-services/renaissance-medical-billing-0483-40035843,5805 Lee Hwy STE 302,False
"MedNet Medical Billing and Collection Services, Inc.",+15053410070,"Ms. Jen Jaciw, Business Manager",https://www.bbb.org/us/nm/albuquerque/profile/medical-billing/mednet-medical-billing-and-collection-services-inc-0806-99149950,7801 Academy Rd NE Bldg 2 Ste 102,False
G & P Billing Services LLC,+14192247056,"Ms. Valerie Kline, President/Manager",https://www.bbb.org/us/oh/lima/profile/medical-billing/g-p-billing-services-llc-0422-8004351,PO Box 397,False
"Professional Billing, Inc",+18776966589,"Mr. Daniel Crocker, President",https://www.bbb.org/us/oh/powell/profile/medical-business-administration/professional-billing-inc-0302-70075862,PO Box 1026,False
Mercy Physician Billing,+13125676691,"Ms. Eleanor L. Copp, Managed Care Physician Services",https://www.bbb.org/us/il/chicago/profile/billing-services/mercy-physician-billing-0654-33002223,2525 S Michigan Ave # B-522,False
On Point Medical Billing,+12482813508,"Ms. Sophia Hooper, Owner",https://www.bbb.org/us/mi/southfield/profile/billing-services/on-point-medical-billing-0372-90031304,29200 Southfield Rd.,False
CF Medical Billing LLC,+13525368140,"Theresa Stone, Owner",https://www.bbb.org/us/fl/clermont/profile/medical-billing/cf-medical-billing-llc-0733-90337120,3705 S Highway 27 STE 203,True
Avedis Medical Billing Solutions,+16617062911,"Ms. Tambra A. Head, Owner",https://www.bbb.org/us/ca/bakersfield/profile/medical-billing/avedis-medical-billing-solutions-1126-89043575,Bakersfield,False
Eastern Medical Billing LLC,+12522694807,,https://www.bbb.org/us/nc/havelock/profile/medical-billing/eastern-medical-billing-llc-0593-90363629,Havelock,True
Cardinal Medical Billing LLC,+13608636186,"Ms. Krystee Nixon, CEO",https://www.bbb.org/us/wa/snohomish/profile/medical-billing/cardinal-medical-billing-llc-1296-1000105223,Snohomish,False
Independent Medical Billing LLC,+16023495869,"Ms. Christina Miller, Owner",https://www.bbb.org/us/az/phoenix/profile/medical-billing/independent-medical-billing-llc-1126-1000091289,Phoenix,False
Providers Medical Billing LLC,+19549903693,"Yadira Martinez, Managing Member",https://www.bbb.org/us/fl/hialeah/profile/medical-billing/providers-medical-billing-llc-0633-90614276,9326 W 33rd Ln,False
Transcend Medical Billing LLC,+14256540001,"Ms. Sally Thompson, Owner",https://www.bbb.org/us/wa/issaquah/profile/medical-billing/transcend-medical-billing-llc-1296-22713295,22510 SE 64th Pl Ste 130,False
Efficient Medical Billing Service,+15033842988,"Mr. David Waite, Member",https://www.bbb.org/us/or/portland/profile/medical-billing/efficient-medical-billing-service-1296-1000098926,PO Box 14100,False
Premier Medical Billing LLC,+15038108166,"Ms. Loubna Ezat Agha, Owner",https://www.bbb.org/us/or/west-linn/profile/medical-billing/premier-medical-billing-llc-1296-1000112835,West Linn,False
Online Medical Billing Solutions,+19099499622,"Ms. Michele Shamell, Owner",https://www.bbb.org/us/ca/upland/profile/medical-billing/online-medical-billing-solutions-1126-89082695,876 N Mountain Ave STE 200T,False
West Medical Billing Services,+15412669038,"Ms. Joy M West, Registered Agent",https://www.bbb.org/us/or/coos-bay/profile/medical-billing/west-medical-billing-services-1296-1000040336,96772 FOX TROT LANE,False
Carolina Medical Billing Inc,+17047085054,"Mr. Matthew Pomponio, President",https://www.bbb.org/us/nc/matthews/profile/medical-billing/carolina-medical-billing-inc-0473-104763,317 Matthews Mint Hill Rd Ste 210,False
Vista Medical Billing LLC,+17203895995,"Mr. Scott Klohs, Registered Agent",https://www.bbb.org/us/co/aurora/profile/medical-billing/vista-medical-billing-llc-1296-90266739,2851 S Parker Rd #1-0730,False
BC Medical Billing LLC,+18446071980,"Ms. Belinda Caballero, Managing Member",https://www.bbb.org/us/fl/hollywood/profile/medical-billing/bc-medical-billing-llc-0633-92024085,2001 Tyler St Ste 211,False
RPM Medical Billing LLC,+18555776633,"Mr. Joshua Ostler, Member",https://www.bbb.org/us/co/greenwood-village/profile/medical-billing/rpm-medical-billing-llc-1296-1000139565,7272 E Indian School Rd Ste 540,False
Cherry Medical Billing Solutions,+15039834722,"Ms. Sheryl Lynn Abid, Owner",https://www.bbb.org/us/or/salem/profile/billing-services/cherry-medical-billing-solutions-1296-1000140923,Salem,True
Valley View Medical Billing,+18888536043,"Ms. Lindsey Weatherford, Owner",https://www.bbb.org/us/ca/menifee/profile/medical-billing/valley-view-medical-billing-1126-850022097,30141 Antelope Rd Ste D340,False
